Unnamed: 0,car_name,year,kilometers_driven,owner_type,fuel_type,location,drive_type,body_type,price,brand,model,owner_type_str,price_lakhs
4616,Hyundai i10,2010.0,42334,1,PETROL,KA-05,Manual,HatchBack,266000,Hyundai,i10,First,2.66
4617,Maruti Dzire,2017.0,33206,1,PETROL,KA-42,Automatic,Sedan,1022350,Maruti,Dzire,First,10.2235
4618,Maruti Baleno,2020.0,37675,2,PETROL,TN-13,Automatic,HatchBack,797000,Maruti,Baleno,Second,7.97
4619,Mahindra XUV500,2021.0,22865,1,DIESEL,GJ-01,Manual,Lux_SUV,1418000,Mahindra,XUV500,First,14.18
4620,Honda WR-V,2018.0,37566,2,PETROL,KA-04,Manual,SUV,750000,Honda,WR-V,Second,7.5
4621,Hyundai VENUE,2020.0,81265,1,DIESEL,BR-06,Manual,SUV,861000,Hyundai,VENUE,First,8.61
4622,Hyundai Elite i20,2015.0,48581,1,PETROL,MH-34,Manual,HatchBack,539000,Hyundai,Elite i20,First,5.39
4623,Hyundai Creta,2016.0,31359,1,PETROL,KA-05,Manual,SUV,986000,Hyundai,Creta,First,9.86
4624,Hyundai Eon,2014.0,68435,1,PETROL,KL-07,Manual,HatchBack,252000,Hyundai,Eon,First,2.52
4625,Maruti Alto K10,2017.0,93133,3,PETROL,TS-15,Manual,HatchBack,317000,Maruti,Alto K10,Third,3.17
4626,Maruti Swift,2018.0,37338,1,PETROL,DL-8C,Automatic,HatchBack,614000,Maruti,Swift,First,6.14
4627,Hyundai i20,2013.0,44300,1,PETROL,MH-12,Manual,HatchBack,415000,Hyundai,i20,First,4.15
4628,Datsun Go,2017.0,85298,1,PETROL,TS-08,Manual,HatchBack,316000,Datsun,Go,First,3.16
4629,Hyundai i10,2013.0,70282,2,PETROL,AP-29,Manual,HatchBack,325000,Hyundai,i10,Second,3.25
4630,Hyundai GRAND I10 NIOS,2019.0,50788,1,CNG,KL-07,Manual,HatchBack,625000,Hyundai,GRAND I10 NIOS,First,6.25
4631,Hyundai i10,2010.0,94651,2,PETROL,MH-12,Manual,HatchBack,225000,Hyundai,i10,Second,2.25
4632,Maruti Alto 800,2017.0,68359,1,PETROL,TS-07,Manual,HatchBack,326000,Maruti,Alto 800,First,3.26
4633,Hyundai Grand i10,2017.0,41866,2,PETROL,UP-43,Manual,HatchBack,384000,Hyundai,Grand i10,Second,3.84
4634,Nissan MAGNITE,2022.0,25315,1,PETROL,MH-12,Manual,SUV,741000,Nissan,MAGNITE,First,7.41
4635,Renault Kwid,2017.0,62029,1,PETROL,MH-47,Manual,HatchBack,302000,Renault,Kwid,First,3.02
4636,Maruti Baleno,2017.0,57272,1,PETROL,TN-13,Manual,HatchBack,543000,Maruti,Baleno,First,5.43
4637,Hyundai Eon,2015.0,38429,1,PETROL,MH-14,Manual,HatchBack,281000,Hyundai,Eon,First,2.81
4638,Hyundai Elite i20,2016.0,82935,1,PETROL,RJ-14,Manual,HatchBack,543000,Hyundai,Elite i20,First,5.43
